"station_name","species_id","individual_userstr","latitude","longitude","lat_lon_datum","active"
"Beal Botanical Garden",12,"flowering dogwood-CC0549*01",42.731408,-84.486002,"WGS84",1
"Beal Botanical Garden",12,"flowering dogwood-CC0959*01",42.731238,-84.484001,"WGS84",1
"Kresge Arts Center and Giltner Hall",12,"flowering dogwood-CC1402*01",42.730264,-84.476059,"WGS84",1
"International Center",12,"flowering dogwood-CC1720*01",42.726986,-84.480519,"WGS84",1
"International Center",12,"flowering dogwood-CC1720*02",42.727006,-84.480637,"WGS84",1
"International Center",12,"flowering dogwood-CC1720*03",42.726998,-84.480817,"WGS84",1
"International Center",12,"flowering dogwood-CC1741*01",42.728489,-84.481779,"WGS84",1
"Jenison Field House",12,"flowering dogwood-CC1849*01",42.731388,-84.489972,"WGS84",1
"Jenison Field House",12,"flowering dogwood-CC2202*01",42.731274,-84.4932,"WGS84",1
"Sanford Natural Area",12,"flowering dogwood-CC2938*01",42.726617,-84.46866,"WGS84",1
"Music Building",12,"flowering dogwood-CC4918*01",42.732031,-84.483759,"WGS84",0
"NE Dorms",12,"flowering dogwood-CC6272*01",42.732452,-84.474831,"WGS84",1
"Breslin to Stadium",12,"flowering dogwood-CC7298*01",42.728714,-84.48928,"WGS84",1
"Breslin to Stadium",12,"flowering dogwood-CC7298*02",42.728707,-84.489488,"WGS84",1
"Music Building",79,"American beech-20070154*04",42.733331,-84.483031,"WGS84",1
"Beaumont Tower",79,"American beech-20130268*01",42.733286,-84.482472,"WGS84",1
"Beaumont Tower",79,"American beech-20130268*02",42.732935,-84.481238,"WGS84",1
"Beaumont Tower",79,"American beech-20130268*03",42.73334,-84.482293,"WGS84",0
"Music Building",79,"American beech-CC0139*01",42.733116,-84.48408,"WGS84",1
"Music Building",79,"American beech-CC0169*01",42.732238,-84.483183,"WGS84",1
"Music Building",79,"American beech-CC0182*01",42.732702,-84.483568,"WGS84",1
"Beaumont Tower",79,"American beech-CC0242*01",42.731851,-84.482619,"WGS84",1
"Beaumont Tower",79,"American beech-CC0255*01",42.732386,-84.482385,"WGS84",1
"Beaumont Tower",79,"American beech-CC0302*01",42.733006,-84.481394,"WGS84",0
"Grand River Ave",79,"American beech-CC1245*01",42.734572,-84.483216,"WGS84",1
"Shaw Hall",79,"American beech-CC1623*01",42.727172,-84.476486,"WGS84",1
"NE Dorms",79,"American beech-CC6260*01",42.732185,-84.473807,"WGS84",1
"NE Dorms",79,"American beech-CC6328*01",42.729413,-84.474356,"WGS84",1
"Music Building",1736,"European beech-CC0190*01",42.732846,-84.483609,"WGS84",1
"Breslin to Stadium",1741,"Kentucky coffeetree-20040568*01",42.729504,-84.487432,"WGS84",1
"NW corner",1741,"Kentucky coffeetree-20040568*05",42.733866,-84.4841,"WGS84",1
"Music Building",1741,"Kentucky coffeetree-CC0209*01",42.732577,-84.483037,"WGS84",1
"Beaumont Tower",1741,"Kentucky coffeetree-CC0272*01",42.733056,-84.482235,"WGS84",1
"Beaumont Tower",1741,"Kentucky coffeetree-CC0389*01",42.731924,-84.481916,"WGS84",1
"Benefactors Plaza",1741,"Kentucky coffeetree-CC1360*01",42.732135,-84.475792,"WGS84",1
"Plant Sciences",1741,"Kentucky coffeetree-CC2534*01",42.722341,-84.478233,"WGS84",1
"Grand River Ave",1741,"Kentucky coffeetree-CC3954*01",42.734161,-84.482257,"WGS84",1
"Grand River Ave",1741,"Kentucky coffeetree-CC4168*01",42.734048,-84.482255,"WGS84",1
"Breslin to Stadium",1741,"Kentucky coffeetree-CC6927*01",42.72881,-84.493384,"WGS84",1
"South Neighborhood",1741,"Kentucky coffeetree-NN0272*01",42.721784,-84.486787,"WGS84",1
"South Neighborhood",1741,"Kentucky coffeetree-NN0273*01",42.721689,-84.486788,"WGS84",1
"South Neighborhood",1741,"Kentucky coffeetree-NN0274*01",42.72159,-84.486789,"WGS84",1
"Shaw Hall",1741,"Kentucky coffeetree-NN0275*01",42.72756,-84.472742,"WGS84",1
"Shaw Hall",1741,"Kentucky coffeetree-NN0276*01",42.727555,-84.472882,"WGS84",1
"South Neighborhood",82,"tuliptree-20090169*06",42.722453,-84.488587,"WGS84",1
"Breslin to Stadium",82,"tuliptree-20090398*06",42.728484,-84.491274,"WGS84",1
"Breslin to Stadium",82,"tuliptree-20090398*07",42.728801,-84.490364,"WGS84",1
"Wharton Center",82,"tuliptree-20120053*01",42.725073,-84.473505,"WGS84",1
"Jenison Field House",82,"tuliptree-20120053*02",42.731109,-84.488511,"WGS84",1
"Music Building",82,"tuliptree-20120053*03",42.733406,-84.48332,"WGS84",1
"Grand River Ave",82,"tuliptree-20130271*01",42.733712,-84.482452,"WGS84",1
"Beal Botanical Garden",82,"tuliptree-20150640*06",42.730707,-84.484917,"WGS84",1
"Music Building",82,"tuliptree-20150640*07",42.733286,-84.48624,"WGS84",1
"NE Dorms",82,"tuliptree-20230040*01",42.728932,-84.473283,"WGS84",1
"Hannah Administration Building",82,"tuliptree-89P067*01",42.728603,-84.480418,"WGS84",1
"Beaumont Tower",82,"tuliptree-97P033*01",42.732117,-84.482958,"WGS84",1
"Hannah Administration Building",82,"tuliptree-98N048*07",42.730317,-84.481108,"WGS84",1
"Beal Botanical Garden",82,"tuliptree-CC0901*01",42.73014,-84.483799,"WGS84",1
"Jenison Field House",82,"tuliptree-NN0374*01",42.730305,-84.491444,"WGS84",1
"Plant Sciences",1356,"dawn redwood-20000146*02",42.722201,-84.469235,"WGS84",0
"Plant Sciences",1356,"dawn redwood-20000146*03",42.722111,-84.469278,"WGS84",1
"Plant Sciences",1356,"dawn redwood-20000146*04",42.722077,-84.46921,"WGS84",0
"Plant Sciences",1356,"dawn redwood-20000146*05",42.722086,-84.469075,"WGS84",0
"Plant Sciences",1356,"dawn redwood-20000146*06",42.722157,-84.469127,"WGS84",0
"Kresge Arts Center and Giltner Hall",1356,"dawn redwood-20060244*04",42.728896,-84.475498,"WGS84",1
"Kresge Arts Center and Giltner Hall",1356,"dawn redwood-20060244*05",42.728925,-84.475395,"WGS84",1
"Kresge Arts Center and Giltner Hall",1356,"dawn redwood-20060244*07",42.728894,-84.475306,"WGS84",0
"Kresge Arts Center and Giltner Hall",1356,"dawn redwood-20060244*12",42.728893,-84.475119,"WGS84",1
